wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
³ódzkie;Skierniewice;16;3,34;;;;t1063
ma³opolskie;bocheñski;8;0,75;2;;2;t1201
ma³opolskie;brzeski;;;3;1;2;t1202
ma³opolskie;chrzanowski;18;1,45;1;1;;t1203
ma³opolskie;d¹browski;6;1,01;;;;t1204
ma³opolskie;gorlicki;11;1,01;2;;2;t1205
ma³opolskie;krakowski;56;2,00;1;1;;t1206
ma³opolskie;limanowski;10;0,76;;;;t1207
ma³opolskie;miechowski;2;0,41;1;1;;t1208
ma³opolskie;myœlenicki;16;1,25;;;;t1209
ma³opolskie;nowos¹decki;6;0,28;;;;t1210
ma³opolskie;nowotarski;14;0,73;;;;t1211
ma³opolskie;olkuski;12;1,08;3;;3;t1212
ma³opolskie;oœwiêcimski;25;1,63;1;;1;t1213
ma³opolskie;proszowicki;4;0,93;;;;t1214
ma³opolskie;suski;15;1,78;;;;t1215
ma³opolskie;tarnowski;20;0,99;2;1;1;t1216
ma³opolskie;tatrzañski;9;1,32;1;;1;t1217
ma³opolskie;wadowicki;58;3,63;2;;2;t1218
ma³opolskie;wielicki;33;2,54;2;;2;t1219
ma³opolskie;Kraków;196;2,51;9;9;;t1261
ma³opolskie;Nowy S¹cz;8;0,96;;;;t1262
ma³opolskie;Tarnów;14;1,29;;;;t1263
mazowieckie;bia³obrzeski;7;2,10;;;;t1401
mazowieckie;ciechanowski;18;2,02;4;;4;t1402
mazowieckie;garwoliñski;25;2,29;4;;4;t1403
mazowieckie;gostyniñski;6;1,34;1;;1;t1404
mazowieckie;grodziski;49;5,07;2;;2;t1405
mazowieckie;grójecki;22;2,24;1;;1;t1406
mazowieckie;kozienicki;18;3,01;;;;t1407
mazowieckie;legionowski;39;3,27;1;;1;t1408
mazowieckie;lipski;9;2,67;;;;t1409
mazowieckie;³osicki;1;0,33;2;;2;t1410
mazowieckie;makowski;13;2,91;3;2;1;t1411
mazowieckie;miñski;23;1,48;3;2;1;t1412
mazowieckie;m³awski;6;0,83;3;;3;t1413
mazowieckie;nowodworski;40;5,04;;;;t1414
mazowieckie;ostro³êcki;9;1,02;;;;t1415
mazowieckie;ostrowski;18;2,50;1;;1;t1416
mazowieckie;otwocki;49;3,94;;;;t1417
mazowieckie;piaseczyñski;64;3,38;1;;1;t1418
mazowieckie;p³ocki;9;0,81;;;;t1419
mazowieckie;p³oñski;4;0,46;3;;3;t1420
mazowieckie;pruszkowski;66;3,97;;;;t1421
mazowieckie;przasnyski;14;2,67;2;;2;t1422
mazowieckie;przysuski;2;0,48;2;;2;t1423
mazowieckie;pu³tuski;2;0,39;1;;1;t1424
mazowieckie;radomski;30;1,97;2;1;1;t1425
mazowieckie;siedlecki;14;1,72;1;;1;t1426
mazowieckie;sierpecki;7;1,35;1;;1;t1427
mazowieckie;sochaczewski;36;4,24;2;;2;t1428
mazowieckie;soko³owski;17;3,17;;;;t1429
mazowieckie;szyd³owiecki;1;0,25;;;;t1430
mazowieckie;warszawski zachodni;54;4,52;1;;1;t1432
mazowieckie;wêgrowski;19;2,89;;;;t1433
mazowieckie;wo³omiñski;90;3,58;;;;t1434
mazowieckie;wyszkowski;11;1,48;5;;5;t1435
mazowieckie;zwoleñski;4;1,11;1;;1;t1436
mazowieckie;¿uromiñski;4;1,04;;;;t1437
mazowieckie;¿yrardowski;25;3,31;;;;t1438
mazowieckie;Ostro³êka;16;3,08;;;;t1461
mazowieckie;P³ock;18;1,51;;;;t1462
mazowieckie;Radom;96;4,56;4;4;;t1463
mazowieckie;Siedlce;8;1,02;3;;3;t1464
mazowieckie;Warszawa;637;3,55;26;;26;t1465
opolskie;brzeski;10;1,12;;;;t1601
opolskie;g³ubczycki;21;4,64;3;;3;t1602
opolskie;kêdzierzyñsko-kozielski;20;2,14;2;;2;t1603
opolskie;kluczborski;6;0,92;4;;4;t1604
opolskie;krapkowicki;5;0,79;1;;1;t1605
opolskie;namys³owski;12;2,81;4;;4;t1606
opolskie;nyski;30;2,21;4;3;1;t1607
opolskie;oleski;14;2,18;1;;1;t1608
opolskie;opolski;23;1,86;2;;2;t1609
opolskie;prudnicki;7;1,27;1;;1;t1610
opolskie;strzelecki;16;2,16;3;;3;t1611
opolskie;Opole;42;3,28;3;;3;t1661
podkarpackie;bieszczadzki;6;2,78;;;;t1801
podkarpackie;brzozowski;8;1,22;1;;1;t1802
podkarpackie;dêbicki;10;0,74;;;;t1803
podkarpackie;jaros³awski;21;1,75;;;;t1804
podkarpackie;jasielski;3;0,26;3;;3;t1805
podkarpackie;kolbuszowski;4;0,64;;;;t1806
podkarpackie;kroœnieñski;6;0,53;1;;1;t1807
podkarpackie;le¿ajski;7;1,01;1;;1;t1808
podkarpackie;lubaczowski;16;2,91;;;;t1809
podkarpackie;³añcucki;25;3,08;1;;1;t1810
podkarpackie;mielecki;10;0,73;;;;t1811
podkarpackie;ni¿añski;8;1,20;;;;t1812
podkarpackie;przemyski;11;1,49;;;;t1813
podkarpackie;przeworski;4;0,51;4;;4;t1814
podkarpackie;ropczycko-sêdziszowski;;;;;;t1815
podkarpackie;rzeszowski;39;2,29;4;;4;t1816
podkarpackie;sanocki;5;0,53;;;;t1817
podkarpackie;stalowowolski;13;1,23;1;;1;t1818
podkarpackie;strzy¿owski;4;0,65;;;;t1819
podkarpackie;tarnobrzeski;14;2,65;;;;t1820
podkarpackie;leski;1;0,38;1;;1;t1821
podkarpackie;Krosno;2;0,43;;;;t1861
podkarpackie;Przemyœl;16;2,65;;;;t1862
podkarpackie;Rzeszów;28;1,42;2;;2;t1863
podkarpackie;Tarnobrzeg;18;3,86;;;;t1864
podlaskie;augustowski;19;3,28;1;;1;t2001
podlaskie;bia³ostocki;64;4,26;3;;3;t2002
podlaskie;bielski;21;3,88;;;;t2003
podlaskie;grajewski;7;1,49;;;;t2004
podlaskie;hajnowski;15;3,55;1;;1;t2005
podlaskie;kolneñski;2;0,53;;;;t2006
podlaskie;³om¿yñski;6;1,18;;;;t2007
podlaskie;moniecki;14;3,48;;;;t2008
podlaskie;sejneñski;2;1,01;;;;t2009
podlaskie;siemiatycki;3;0,68;;;;t2010
podlaskie;sokólski;43;6,49;2;;2;t2011
podlaskie;suwalski;14;3,93;;;;t2012
podlaskie;wysokomazowiecki;11;1,94;2;;2;t2013
podlaskie;zambrowski;14;3,23;;;;t2014
podlaskie;Bia³ystok;145;4,87;4;;4;t2061
podlaskie;£om¿a;30;4,78;1;;1;t2062
podlaskie;Suwa³ki;16;2,29;2;;2;t2063
pomorskie;bytowski;25;3,16;;;;t2201
pomorskie;chojnicki;8;0,82;;;;t2202
pomorskie;cz³uchowski;31;5,54;3;;3;t2203
pomorskie;gdañski;80;6,70;1;;1;t2204
pomorskie;kartuski;33;2,34;;;;t2205
pomorskie;koœcierski;22;3,02;;;;t2206
pomorskie;kwidzyñski;17;2,05;;;;t2207
pomorskie;lêborski;15;2,27;;;;t2208
pomorskie;malborski;32;5,05;3;2;1;t2209
pomorskie;nowodworski;18;5,07;;;;t2210
pomorskie;pucki;52;5,96;2;;2;t2211
pomorskie;s³upski;43;4,35;4;;4;t2212
pomorskie;starogardzki;37;2,88;3;2;1;t2213
pomorskie;tczewski;36;3,11;11;;11;t2214
pomorskie;wejherowski;105;4,80;3;;3;t2215
pomorskie;sztumski;35;8,51;2;;2;t2216
pomorskie;Gdañsk;274;5,81;7;1;6;t2261
pomorskie;Gdynia;158;6,43;2;;2;t2262
pomorskie;S³upsk;69;7,64;2;1;1;t2263
pomorskie;Sopot;11;3,09;2;1;1;t2264
œl¹skie;bêdziñski;44;2,98;5;;5;t2401
œl¹skie;bielski;46;2,77;;;;t2402
œl¹skie;cieszyñski;47;2,64;;;;t2403
œl¹skie;czêstochowski;33;2,46;2;;2;t2404
œl¹skie;gliwicki;34;2,94;3;;3;t2405
œl¹skie;k³obucki;20;2,37;;;;t2406
œl¹skie;lubliniecki;20;2,62;3;;3;t2407
œl¹skie;miko³owski;21;2,12;2;;2;t2408
œl¹skie;myszkowski;22;3,11;1;1;;t2409
œl¹skie;pszczyñski;28;2,51;1;;1;t2410
œl¹skie;raciborski;17;1,58;1;;1;t2411
œl¹skie;rybnicki;6;0,77;1;;1;t2412
œl¹skie;tarnogórski;64;4,55;;;;t2413
œl¹skie;bieruñsko-lêdziñski;13;2,17;2;1;1;t2414
œl¹skie;wodzis³awski;35;2,23;;;;t2415
œl¹skie;zawierciañski;22;1,88;1;;1;t2416
œl¹skie;¿ywiecki;65;4,26;1;;1;t2417
œl¹skie;Bielsko-Bia³a;53;3,11;1;;1;t2461
œl¹skie;Bytom;70;4,26;;;;t2462
œl¹skie;Chorzów;37;3,44;4;;4;t2463
œl¹skie;Czêstochowa;68;3,10;3;;3;t2464
œl¹skie;D¹browa Górnicza;34;2,86;4;;4;t2465
œl¹skie;Gliwice;58;3,26;6;;6;t2466
œl¹skie;Jastrzêbie-Zdrój;6;0,68;;;;t2467
œl¹skie;Jaworzno;9;0,99;1;;1;t2468
œl¹skie;Katowice;100;3,43;3;;3;t2469
œl¹skie;Mys³owice;11;1,47;1;;1;t2470
œl¹skie;Piekary Œl¹skie;21;3,83;1;;1;t2471
œl¹skie;Ruda Œl¹ska;53;3,87;5;;5;t2472
œl¹skie;Rybnik;28;2,03;4;;4;t2473
œl¹skie;Siemianowice Œl¹skie;15;2,25;;;;t2474
œl¹skie;Sosnowiec;35;1,76;1;;1;t2475
œl¹skie;Œwiêtoch³owice;21;4,25;1;;1;t2476
œl¹skie;Tychy;75;5,89;5;;5;t2477
œl¹skie;Zabrze;43;2,50;2;;2;t2478
œl¹skie;¯ory;25;3,99;;;;t2479
œwiêtokrzyskie;buski;5;0,70;2;1;1;t2601
œwiêtokrzyskie;jêdrzejowski;15;1,76;;;;t2602
œwiêtokrzyskie;kazimierski;3;0,90;;;;t2603
œwiêtokrzyskie;kielecki;19;0,90;4;;4;t2604
œwiêtokrzyskie;konecki;6;0,75;1;;1;t2605
œwiêtokrzyskie;opatowski;4;0,77;1;;1;t2606
œwiêtokrzyskie;ostrowiecki;21;1,94;3;;3;t2607
œwiêtokrzyskie;piñczowski;1;0,26;;;;t2608
œwiêtokrzyskie;sandomierski;22;2,87;2;;2;t2609
œwiêtokrzyskie;skar¿yski;5;0,68;1;;1;t2610
œwiêtokrzyskie;starachowicki;8;0,90;1;;1;t2611
œwiêtokrzyskie;staszowski;18;2,51;2;;2;t2612
œwiêtokrzyskie;w³oszczowski;2;0,45;;;;t2613
œwiêtokrzyskie;Kielce;30;1,54;3;;3;t2661
warmiñsko-mazurskie;bartoszycki;51;8,96;4;1;3;t2801
warmiñsko-mazurskie;braniewski;19;4,64;1;;1;t2802
warmiñsko-mazurskie;dzia³dowski;33;5,08;1;;1;t2803
warmiñsko-mazurskie;elbl¹ski;55;9,64;1;;1;t2804
warmiñsko-mazurskie;e³cki;24;2,62;;;;t2805
warmiñsko-mazurskie;gi¿ycki;54;9,56;;;;t2806
warmiñsko-mazurskie;i³awski;36;3,88;1;;1;t2807
warmiñsko-mazurskie;kêtrzyñski;41;6,61;1;;1;t2808
warmiñsko-mazurskie;lidzbarski;38;9,26;;;;t2809
warmiñsko-mazurskie;mr¹gowski;28;5,64;;;;t2810
warmiñsko-mazurskie;nidzicki;17;5,19;1;;1;t2811
warmiñsko-mazurskie;nowomiejski;26;5,94;;;;t2812
warmiñsko-mazurskie;olecki;16;4,70;;;;t2813
warmiñsko-mazurskie;olsztyñski;97;7,63;;;;t2814
warmiñsko-mazurskie;ostródzki;87;8,37;1;;1;t2815
warmiñsko-mazurskie;piski;37;6,61;;;;t2816
warmiñsko-mazurskie;szczycieñski;44;6,35;2;;2;t2817
warmiñsko-mazurskie;go³dapski;17;6,38;1;1;;t2818
warmiñsko-mazurskie;wêgorzewski;31;13,74;;;;t2819
warmiñsko-mazurskie;Elbl¹g;101;8,48;1;;1;t2861
warmiñsko-mazurskie;Olsztyn;136;7,91;;;;t2862
wielkopolskie;chodzieski;10;2,13;2;;2;t3001
wielkopolskie;czarnkowsko-trzcianecki;50;5,76;1;;1;t3002
wielkopolskie;gnieŸnieñski;103;7,08;1;1;;t3003
wielkopolskie;gostyñski;14;1,84;1;;1;t3004
wielkopolskie;grodziski;19;3,66;;;;t3005
wielkopolskie;jarociñski;10;1,40;2;;2;t3006
wielkopolskie;kaliski;19;2,29;2;;2;t3007
wielkopolskie;kêpiñski;11;1,95;;;;t3008
wielkopolskie;kolski;11;1,27;3;1;2;t3009
wielkopolskie;koniñski;19;1,46;3;;3;t3010
wielkopolskie;koœciañski;11;1,39;;;;t3011
wielkopolskie;krotoszyñski;18;2,33;;;;t3012
wielkopolskie;leszczyñski;26;4,52;;;;t3013
wielkopolskie;miêdzychodzki;20;5,45;;;;t3014
wielkopolskie;nowotomyski;24;3,17;;;;t3015
wielkopolskie;obornicki;35;5,85;;;;t3016
wielkopolskie;ostrowski;38;2,35;8;7;1;t3017
wielkopolskie;ostrzeszowski;5;0,90;1;;1;t3018
wielkopolskie;pilski;53;3,90;1;1;;t3019
wielkopolskie;pleszewski;9;1,43;1;1;;t3020
wielkopolskie;poznañski;307;7,61;6;5;1;t3021
wielkopolskie;rawicki;13;2,16;;;;t3022
wielkopolskie;s³upecki;18;3,05;;;;t3023
wielkopolskie;szamotulski;59;6,43;1;;1;t3024
wielkopolskie;œredzki;26;4,40;1;;1;t3025
wielkopolskie;œremski;17;2,77;1;1;;t3026
wielkopolskie;turecki;7;0,84;1;;1;t3027
wielkopolskie;w¹growiecki;21;2,99;;;;t3028
wielkopolskie;wolsztyñski;18;3,13;;;;t3029
wielkopolskie;wrzesiñski;58;7,43;3;3;;t3030
wielkopolskie;z³otowski;66;9,53;;;;t3031
wielkopolskie;Kalisz;11;1,10;;;;t3061
wielkopolskie;Konin;17;2,32;2;;2;t3062
wielkopolskie;Leszno;21;3,32;1;;1;t3063
wielkopolskie;Poznañ;421;7,89;12;11;1;t3064
zachodniopomorskie;bia³ogardzki;24;5,06;;;;t3201
zachodniopomorskie;choszczeñski;17;3,54;2;;2;t3202
zachodniopomorskie;drawski;56;9,85;;;;t3203
zachodniopomorskie;goleniowski;60;7,28;3;;3;t3204
zachodniopomorskie;gryficki;26;4,33;1;;1;t3205
zachodniopomorskie;gryfiñski;30;3,68;2;;2;t3206
zachodniopomorskie;kamieñski;22;4,69;2;;2;t3207
zachodniopomorskie;ko³obrzeski;16;2,02;1;;1;t3208
zachodniopomorskie;koszaliñski;38;5,72;1;;1;t3209
zachodniopomorskie;myœliborski;12;1,83;3;;3;t3210
zachodniopomorskie;policki;66;8,13;;;;t3211
zachodniopomorskie;pyrzycki;12;3,06;;;;t3212
zachodniopomorskie;s³awieñski;19;3,39;;;;t3213
zachodniopomorskie;stargardzki;67;5,58;4;;4;t3214
zachodniopomorskie;szczecinecki;57;7,36;2;;2;t3215
zachodniopomorskie;œwidwiñski;31;6,66;2;;2;t3216
zachodniopomorskie;wa³ecki;31;5,86;3;;3;t3217
zachodniopomorskie;³obeski;28;7,67;;;;t3218
zachodniopomorskie;Koszalin;58;5,43;;;;t3261
zachodniopomorskie;Szczecin;297;7,41;4;;4;t3262
zachodniopomorskie;Œwinoujœcie;29;7,10;;;;t3263
